0,1
一点味餐厅,一点味餐厅
过江龙火锅,过江龙火锅
罗帝可可Rodicoco美食&轻吧,"罗帝可可, RODICOCO"
淳百味饭范,淳百味
厚呷台式茶饮制造,"厚呷, HOUJIA"
载沅家炒酸奶,载沅家
蛙来哒炭烧牛蛙,蛙来哒
淳百味,淳百味
青沫茶颜,青沫茶颜
关茶,关茶
欧米奇蛋糕屋,"欧米奇, AMICI COFFEE, AMICICOFFEE"
芋贵人甜品,芋贵人
西少爷油饼,西少爷
汕头八合里海记牛肉店,八合里海记
杏记甜品,杏记甜品
漾漾好贡茶,漾漾好贡茶
DORABELLA朵娜贝拉,"朵娜贝拉, dorabella"
一只酸奶牛,一只酸奶牛
一只酸奶牛,一只酸奶牛
宫悦贡茶,宫悦贡茶
重庆小天鹅火锅,重庆小天鹅
肯德基,"肯德基, KFC"
老娘舅,老娘舅
麦隆咖啡时尚休闲餐厅,"麦隆咖啡, MELLOWER"
千味涮,千味涮
如一坊豆捞,如一坊
美滋美味削面,美滋美
斯利美,斯利美
福华新辣道肥牛火锅,新辣道
全城寻味坊,全城寻味
丽华快餐,丽华快餐
INCHA 印茶,"印茶, INCHA"
嗲茶,嗲茶
老爷锅,老爷锅
四云奶盖贡茶,四云奶盖贡茶
丽华快餐,丽华快餐
乌所味,乌所味
斗牛士牛排餐厅,斗牛士牛排
亚惠美食广场,亚惠美食
一品三笑,一品三笑
松竹怡园,松竹
巧滋巧味,巧滋巧味
益加益健康煮,健康煮
HollysCoffee豪丽斯咖啡,"豪丽斯, HOLLYS COFFEE, HOLLYSCOFFEE"
稻香馆,稻香
宏状元粗粮馆,宏状元
麻里麻里香锅,麻里麻里香锅
TheOne,"炭茶, THEONE"
比格比萨,"比格, Big Pizza, BigPizza"
鱼一哥,鱼一哥
萃茶师,萃茶师
茶之道,茶之道
Dorabella 朵娜贝拉,"朵娜贝拉, dorabella"
丹堤咖啡,丹堤咖啡
两岸咖啡,两岸咖啡
荼啡茶,荼啡茶
塞纳左岸咖啡厅,"塞纳左岸, SsanaZoan"
麦咖啡,"麦咖啡, McCafe"
布歌东京MvukeTokyo,"布歌东京, mvuke tokyo, mvuketokyo"
汕头八合里海记牛肉店,八合里海记
王子拉茶,王子拉茶
西树泡芙,"Chez Choux, 西树泡芙"
锅小二酸菜鱼,锅小二
一芳台湾水果茶,一芳台湾水果茶
蒙自源过桥米线,蒙自源
茶着,茶着
老磨坊豆业,老磨坊
赛百味,"赛百味, SUBWAY"
趣捞火锅,趣捞
雪冰Sulbing,雪冰
巴奴川香居火锅,巴奴
西少爷肉夹馍,西少爷
逸美时光咖啡,逸美时光
蜀大侠火锅,蜀大侠
下一站奶茶文化专门店,下一站奶茶
罗帝可可鲜饮＆烘培,"罗帝可可, RODICOCO"
恋暖初茶,恋暖初茶
北家姓转转小火锅,北家姓
德克士三叠泉,"德克士, Dicos"
乡水源重庆火锅,乡水源
黑龙茶,黑龙茶
草原小肥羊,小肥羊
巧芋工坊,巧芋工坊
老娘舅,老娘舅
老爷锅,老爷锅
华必和,华必和
COMEBUY甘杯,"甘杯, COMEBUY"
聪少甜品,聪少甜品
恒记甜品,恒记甜品
暹香泰茶,暹香泰茶
蓝湾咖啡,蓝湾咖啡
食翠澳门豆捞,澳门豆捞
麻里麻里香锅,麻里麻里香锅
奶茶工坊饮品店,奶茶工坊
妙茶,妙茶
巧芋工坊,巧芋工坊
尊比格披萨,"比格, Big Pizza, BigPizza"
骑士老虎茶黑糖,骑士老虎茶
i转角icorner,"i转角, ICORNER"
新元素·米妮,"新元素, Elementfresh"
吉祥馄饨,吉祥馄饨
顺水鱼馆,顺水鱼馆
阿官火锅专家,阿官火锅专家
稻香村,稻香
moussecake,"慕丝, MOUSSE"
猫山王榴莲MusangKing,"猫山王, Musang King, MusangKing"
真功夫,真功夫
星巴克,"星巴克, Starbucks"
哥老官串串香,"哥老官, 哥老官美蛙鱼头"
研磨时光咖啡-Time TABLE,研磨时光
满记甜品,满记甜品
蛋仔小茶,蛋仔小茶
THEONE炭茶,"炭茶, THEONE"
丹堤咖啡,丹堤咖啡
华夫班特,"华夫班特, waffle bant, wafflebant"
不二锅,不二锅
庆丰包子铺,庆丰包子铺
SPR咖啡,"SPR咖啡, SPR COFFEE, SPRCOFFEE"
茶百道,茶百道
经士贡龙茶,经士贡龙茶
华莱士炸鸡汉堡,华莱士
茶托邦,茶托邦
大虎老火锅,大虎老火锅
鱼一哥宝塔锅王,鱼一哥
漫猫咖啡,漫猫咖啡
港芝悦,港芝悦
烹大师海鲜自助火锅,烹大师
大虎老火锅,大虎老火锅
鲜果时间,鲜果时间
欢乐柠檬饮品,欢乐柠檬
豪口福,豪口福
spr咖啡牛扒馆,"SPR咖啡, SPR COFFEE, SPRCOFFEE"
东方饺子王,东方饺子王
萨莉亚,"萨莉亚, Saizeriya"
奶茶博士,奶茶博士
黑玉奶茶甜品炸鸡杯,黑玉奶茶
蜜菓,蜜菓
坎爷秘制火锅,坎爷秘制
一点味餐厅,一点味餐厅
黑泷太郎,黑泷太郎
集渔泰式海鲜火锅,集渔
蒸浏记.浏阳蒸菜,蒸浏记
泰迪熊私藏茶,泰迪熊私藏茶
茶着乐熹家,茶着
奶茶工坊,奶茶工坊
重庆巴将军火锅店,巴将军火锅
奶茶工坊,奶茶工坊
missmilk酸奶家族,"MissMilk酸奶家族, MissMilk"
凡情蒂诺时尚甜品旗舰店,"凡情蒂诺, Valentino"
舞茶道,舞茶道
鱼尚鲜草帽石锅鱼,鱼尚鲜
YummyCake娅咪蛋糕烘焙,"雅蜜优格, yummy"
米多面多,"米多面多, MIDOU"
萨莉亚意式餐厅,"萨莉亚, Saizeriya"
蒸功夫包子专卖,蒸功夫
半兽人中华火锅,半兽人
阿华大虾火锅,阿华大虾
蒸功夫钙骨汤包专卖店,蒸功夫
蒂奥莎手工巧克力,"蒂奥莎, DIOSA"
永和大王,"永和大王, 台式风味的精致快餐"
宫悦贡茶,宫悦贡茶
小肥羊羊肉馆,小肥羊
茶家Tea etc,茶家
Ishijah Coffee,"伊示雅, ISHIJAH"
宫悦贡茶,宫悦贡茶
TEAMACC 茶玛鲁广店,"茶玛, TEAMACC"
西少爷肉夹馍,西少爷
甜贵人,甜贵人
稻香永丰,稻香
布歌东京,"布歌东京, mvuke tokyo, mvuketokyo"
谷子帝五谷煎饼,谷子帝
爵士岛咖啡,爵士岛咖啡
连咖啡Coffee Box,"连咖啡, Coffee Box, CoffeeBox"
重庆孔亮火锅,孔亮火锅
糖汇甜品,糖汇甜品
蜜菓,蜜菓
味蜀吾火锅,味蜀吾
春阳茶事,春阳茶事
茶大爷,"茶大爷, teadaye"
这一锅,这一锅
许留山,许留山
外婆烧木桶饭,外婆烧
小肥羊涮园,小肥羊
椒麻鸡手撕鸡,椒麻鸡
乡村小肥羊,小肥羊
德庄火锅,德庄火锅
连咖啡CoffeeBox,"连咖啡, Coffee Box, CoffeeBox"
甜果日记港式创意甜品,甜果日记
仙芋世家,仙芋世家
千味涮,千味涮
漫猫咖啡店,漫猫咖啡
爱思米时尚简餐,"爱思米, Kissme"
东池便当,东池便当
VOX咖啡,"唯咖啡, VOX"
重度巴将军火锅,巴将军火锅
豪口福,豪口福
御厨传奇自助涮烤,御厨传奇
阿香婆家常菜,阿香婆
公主馋,公主馋
黔乡牧人烫皮羊肉,黔乡牧人
大龙燚火锅,大龙燚
愉筷快餐,愉筷
luckincoffeelsi,"瑞幸咖啡, luckin"
华必和快捷餐厅,华必和
胡须张鲁肉饭,胡须张
下雪的村庄,下雪的村庄
茶风暴奶茶店,茶风暴
东方饺子王,东方饺子王
COMEBUY甘杯,"甘杯, COMEBUY"
胡须张鲁肉饭,胡须张
重庆刘一手火锅,"刘一手火锅, 重庆刘一手火锅"
茶屋语,"茶屋, TRDLO"
重庆小天鹅,重庆小天鹅
粥鼎记,粥鼎记
百味记小郡肝砂罐串串,百味记小郡肝
西少爷肉夹馍,西少爷
波比艾斯华夫甜筒,波比艾斯
八合里海记,八合里海记
雅岛英皇茶,雅岛英皇茶
轻觅手作鲜茶,轻觅
蛙小侠铁锅牛蛙,蛙小侠
茶咖道奶茶店,茶咖道
Fuel Espresso,"Fuel Espresso, FuelEspresso"
不二锅FUJIPOT外卖小火锅,不二锅
汕头八合里海记牛肉火锅店,八合里海记
马兰拉面,"马兰拉面, Malan"
捞王锅物料理,捞王
LA NUOVA乐诺华,"LA NUOVA, LANUOVA"
湾捞王锅物料理,捞王
珍奶工坊,珍奶工坊
西少爷腊汁肉夹馍,西少爷
探茶,探茶
巴奴毛肚火锅,巴奴毛肚
帕斯库奇咖啡,"帕斯库奇, Pascucc"
辛迪果饮,"辛迪果饮, cider drink, ciderdrink"
Mangosix,"MANGO SIX, MANGOSIX"
集集小镇,集集小镇
李先生加州牛肉面,"李先生, Mrlee"
帕斯库奇咖啡 Caffe Pascucci,"帕斯库奇, Pascucc"
来必堡,来必堡
百味记小郡肝罐罐串串火锅,百味记小郡肝
顺水鱼馆,顺水鱼馆
厚呷·台式茶饮制造,"厚呷, HOUJIA"
麝香猫咖啡,"麝香猫, Musk Cat, MuskCat"
石二锅,石二锅
蓝山咖啡馆,蓝山咖啡
牛很鲜潮汕牛肉火锅,牛很鲜
LEEACCA靓茶,"靓茶, leeacca"
研磨时光空中花园店,研磨时光
凡情蒂诺比利时巧克力,"凡情蒂诺, Valentino"
壹早壹碗,壹早壹碗
掂档潮汕牛肉火锅,掂档潮汕牛肉
柠檬王子,柠檬王子
豪尚豪牛排馆,豪尚豪
贡茶,贡茶
淘汰郎小火锅,淘汰郎
川渝部落重庆老火锅,川渝部落
大渝火锅,大渝火锅
大家乐粮油百货,大家乐
重庆德庄火锅,德庄火锅
欧米奇蛋糕房,"欧米奇, AMICI COFFEE, AMICICOFFEE"
粥鼎记,粥鼎记
冰雪皇后,"冰雪皇后, Dairy Queen, DairyQueen"
大娘水饺,大娘水饺
一芳台湾水果茶,一芳台湾水果茶
美滋美味美食城,美滋美
亲爱的郭小火锅,亲爱的郭
茶丸家,茶丸
老东来顺,东来顺
澳门豆捞,澳门豆捞
紫龙火锅,紫龙火锅
猫山王榴莲甜品蛋糕MusangKing,"猫山王, Musang King, MusangKing"
SPR Coffee,"SPR咖啡, SPR COFFEE, SPRCOFFEE"
重庆德庄火锅,德庄火锅
来必堡,来必堡
外婆烧饼铺,外婆烧
O2小氧,o2小氧
芒可,芒可
丽华快餐,丽华快餐
欢乐柠檬,欢乐柠檬
百年老妈,百年老妈
蒸美味小吃,蒸美味
川渝部落,川渝部落
叶子与茶,叶子与茶
好伦哥比萨自助餐厅,"好伦哥, Origus"
大娘水饺,大娘水饺
欧索米萝咖啡,欧索米萝咖啡
七杯茶,七杯茶
heekcaa茶,"喜茶, HEEKCAA"
茶家七宝,茶家
巧滋巧味甜品店,巧滋巧味
NENLUTEA,"嫩绿茶, Nenlu Tea, NenluTea"
马兰拉面,"马兰拉面, Malan"
Gelato Amore,"杰拉朵, Gelato"
甜蜜转身,"甜蜜转身, Sweet Corner, SweetCorner"
黑泷堂,黑泷堂
黄记煌三汁焖锅,黄记煌
摸错门牛肚王,摸错门牛肚王
缤果鲜茶,缤果鲜茶
轻觅烘焙,轻觅
川味观,川味观
腩潮鲜牛腩火锅,腩潮鲜
X造杯奶茶店,X造杯
NenluTea,"嫩绿茶, Nenlu Tea, NenluTea"
集渔·泰式海鲜火锅,集渔
恒记甜品,恒记甜品
Nobibi美食研究所,nobibi
蜀公馆,蜀公馆
好伦哥,"好伦哥, Origus"
佳客来,"佳客来, JOYCALLER"
锅小二小火锅,锅小二
辉哥火锅,辉哥火锅
愉筷,愉筷
贡茶,贡茶
第七街1973,第七街
真功夫小吃,真功夫
利奥尼达斯比利时巧克力,"利奥尼达斯, LEONIDAS"
茶物语,茶物语
宇治抹茶的,宇治抹茶
奶熊果饮,奶熊果饮
BBQ炸鸡?汉堡,"比比客, bbq"
雕刻时光甜品语茶,雕刻时光
咖啡陪你CaffeBene,"咖啡陪你, Caffebene"
蜜菓の蜜制鲜饮,蜜菓
小辉哥老火锅,小辉哥
佰人王串串香火锅,佰人王串串香
避风港茶饮,避风港
如一坊豆捞,如一坊
重庆乡水源火锅,乡水源
Double Win Cafe,"Double Win Cafe, DoubleWinCafe"
蒸美味营养快餐,蒸美味
尚上捞,尚上捞
迪欧咖啡,迪欧咖啡
蒸膳美营养快餐,蒸膳美
咖咖奥咖啡,"咖咖奥, THECAFEKACAO"
辛发亭.甜品名店,辛发亭
一只酸奶牛,一只酸奶牛
柠檬王子,柠檬王子
榴芒一族,榴芒一族
蜀大侠火锅,蜀大侠
张阿姨奶茶,张阿姨奶茶
萨莉亚意式餐厅,"萨莉亚, Saizeriya"
Little Bean sprout,"LITTLE BEAN, LITTLEBEAN"
九龙巴士,九龙巴士
轰咖咖喱饭,轰咖咖喱饭
埃尔咖啡,埃尔咖啡
蓝湾咖啡,蓝湾咖啡
必胜客,必胜客
吸吉茶,"吸吉茶, CITITEA, CITITEE"
清花草原小肥羊火锅,小肥羊
茶诱惑,茶诱惑
辣莊重庆老火锅,辣莊
顺水鱼馆,顺水鱼馆
蒸膳美,蒸膳美
尚客优品中式快餐连锁,尚客优品
大快活,大快活
海底捞火锅,海底捞
漫咖啡,"漫咖啡, MAANCOFFEE"
川府老妈川菜,川府老妈
重庆铁锅门养身香辣馆,铁锅门养身香辣馆
gelato pique café,"杰拉朵, Gelato"
奶茶博士,奶茶博士
DELIZIEFOLLIE,DELIZIEFOLLIE
FIRST KISS,"FIRST KISS, FIRSTKISS"
豪客来牛排,"豪客来, houcaller"
Hollys Coffee豪丽斯咖啡,"豪丽斯, HOLLYS COFFEE, HOLLYSCOFFEE"
川味观野生烤鱼馆,川味观
如一坊火锅,如一坊
漫咖啡,"漫咖啡, MAANCOFFEE"
与见茶,与见茶
漫猫咖啡,漫猫咖啡
避风港奶茶店,避风港
百客家,百客家
尚上捞欢乐小火锅,尚上捞
小辉哥,小辉哥
宇治茶铺,宇治茶铺
北家姓转转小火锅,北家姓
好伦哥,"好伦哥, Origus"
大快活农家菜馆,大快活
海底捞精品自助火锅,海底捞
云说不二锅,不二锅
新作之茶Sun Tea,新作之茶
INCHA印茶,"印茶, INCHA"
呷哺呷哺,呷哺呷哺
港饮之港,港饮之港
淳百味,淳百味
恋暖初茶,恋暖初茶
虾吃虾涮,虾吃虾涮
百味记小郡肝串串火锅,百味记小郡肝
吉祥馄饨,吉祥馄饨
黑玉奶茶饮铺,黑玉奶茶
小红袍香港私房火锅料理,小红袍
张阿姨奶茶,张阿姨奶茶
八合里海记牛肉店,八合里海记
干锅居,干锅居
狗不理包子专卖,狗不理
比格比萨,"比格, Big Pizza, BigPizza"
芒可,芒可
一只酸奶牛,一只酸奶牛
稻香石磨肠粉,稻香
磨咖小镇,磨咖小镇
川国演义,"川国演义, 川锅演义"
榴莲一品,榴莲一品
地下铁,地下铁
室町品茶,室町品茶
蒸功夫川菜,蒸功夫
小巴奴火锅,巴奴
塞纳左岸咖啡,"塞纳左岸, SsanaZoan"
舞茶道,舞茶道
巴奴毛肚火锅,巴奴毛肚
重庆大队长主题火锅,大队长主题火锅
面点王,面点王
丹堤咖啡,丹堤咖啡
弥茶,弥茶
甜甜圈老婆饼,"甜甜圈, DAYLIGHT DONUTS, DAYLIGHTDONUTS"
喜栈,"喜栈, XZ"
东方既白,东方既白
芋观园,芋观园
VQ鲜榨果汁,VQ鲜榨果汁
蜜菓蜜制鲜饮,蜜菓
阿华大虾,阿华大虾
哈根达斯,哈根达斯
腩潮鲜牛腩火锅店,腩潮鲜
蒸浏记,蒸浏记
yummy cake亚蜜蛋糕,"雅蜜优格, yummy"
电台巷火锅,电台巷
亲爱的郭秘制火锅鸡,亲爱的郭
老爷锅,老爷锅
珍仕菓鲜榨果汁JAZCU,"珍仕菓, Jazcu"
七叶和茶,"七叶和茶, nanass green tea, nanassgreentea"
甜蜜转身,"甜蜜转身, Sweet Corner, SweetCorner"
曼妙午后,曼妙午后
亚惠美食市集,亚惠美食
8090鲜萃茶,8090鲜萃茶
Esquires Coffee,"易思凯斯, Esquires"
葡茶POCTEA,"葡茶, Port Tea, PortTea"
水天堂西餐厅,水天堂
恋暖初茶,恋暖初茶
蜜菓my girl,蜜菓
Mango star,"星角, Mango star, Mangostar"
外婆烧自选餐厅,外婆烧
贵族世家牛排,贵族世家牛排
小肥羊火锅店,小肥羊
YO.BA.,"优芭, YOBA"
嗲茶,嗲茶
松竹涮涮锅,松竹
Dairy Queen,"冰雪皇后, Dairy Queen, DairyQueen"
真功夫,真功夫
薡茶,"薡茶, ding tea, dingtea"
地下铁,地下铁
胡须张鲁肉饭,胡须张
香芋仙,香芋仙
江一湖重庆老火锅,江一湖
巴奴火锅,巴奴
阿水大杯茶,阿水大杯茶
一芳台湾水果茶,一芳台湾水果茶
淳百味,淳百味
师兄芋圆,师兄芋圆
辛发亭甜品名店,辛发亭
茶家,茶家
杏记甜品,杏记甜品
稻香美食栈,稻香
刘一手火锅,"刘一手火锅, 重庆刘一手火锅"
喜茶,"喜茶, HEEKCAA"
外婆家,外婆家
鹿谷製茶,鹿谷製茶
comebuy甘杯,"甘杯, COMEBUY"
inwe,"因味茶, inWE"
MOVENPICK 莫凡彼冰淇淋,"莫凡彼, Movenpick"
淘汰郎小火锅外卖,淘汰郎
华莱士,华莱士
甜蜜转身,"甜蜜转身, Sweet Corner, SweetCorner"
小肥羊串烧心管夹肉,小肥羊
街头茶客,街头茶客
豪享来牛排,豪享来
猫山王优质榴莲甜品,"猫山王, Musang King, MusangKing"
傣妹火锅,傣妹火锅
嗲茶,嗲茶
王子拉茶,王子拉茶
舌尖记忆时尚旋转小火锅,舌尖记忆
太二酸菜鱼,太二酸菜鱼
Cafe de paris帝佰利,"帝佰利, cafe de Paris, cafedeParis"
香芒山甜品,香芒山
面点王,面点王
LEEACCA靓茶,"靓茶, leeacca"
芭斯罗缤,芭斯罗缤
一芳台湾水果茶,一芳台湾水果茶
巴奴毛肚火锅,巴奴毛肚
蜜桃咖啡,蜜桃咖啡
漫咖啡,"漫咖啡, MAANCOFFEE"
VQ鲜榨果汁,VQ鲜榨果汁
TWOSOME生,"途尚咖啡, Twosome"
东方饺子王,东方饺子王
百客家,百客家
愉筷中式快餐,愉筷
答案茶,"答案, ANSWER TEA, ANSWERTEA"
ZOO COFFEE,"动物园咖啡, zoo coffee, zoocoffee"
觅甜记甜品,觅甜记
薡茶,"薡茶, ding tea, dingtea"
港饮之港,港饮之港
TEDDY B,"泰迪咖啡, Teddy"
一芳台湾水果茶,一芳台湾水果茶
酒窝甜品,酒窝甜品
illy咖啡,illy咖啡
永和豆浆馆,永和豆浆
比比客小敏美食店,"比比客, bbq"
稻香铁板炒饭,稻香
必胜客火锅,必胜客
咖咖奥咖啡,"咖咖奥, THECAFEKACAO"
华莱士时尚快乐餐厅,华莱士
雀圣冰室,雀圣冰室
voxcoffee唯咖啡,"唯咖啡, VOX"
茶狼FUSHI,茶狼
gelato+di+natura,"杰拉朵, Gelato"
马兰拉面,"马兰拉面, Malan"
大快活,大快活
左庭右院鲜牛肉火锅,左庭右院
咔咔西奶茶,"咔咔西, kakaxi"
黄手艺火锅店,黄手艺
华必和,华必和
石二锅,石二锅
弥茶,弥茶
茶托邦,茶托邦
老娘舅去骨烧鱼饭,老娘舅
鱼尚鲜草帽石锅鱼,鱼尚鲜
外婆烧自选餐厅,外婆烧
鸿仔港式奶茶,鸿仔港式奶茶
TWOSOME途尚咖啡,"途尚咖啡, Twosome"
唯客大排档,唯客
探茶,探茶
知乎茶也,知乎茶也
仙芋传奇甜品,仙芋传奇
嘉和一品营养粥铺,嘉和一品
鹿谷製茶,鹿谷製茶
Dairy Fairy,"dairy fairy, dairyfairy"
这一锅,这一锅
三只耳冷锅鱼,三只耳
bbq烤肉拌饭,"比比客, bbq"
甜甜圈&tea,"甜甜圈, DAYLIGHT DONUTS, DAYLIGHTDONUTS"
蛙来哒炭烧牛蛙,蛙来哒
BBQ烧烤吧,"比比客, bbq"
蒸浏记,蒸浏记
洋房火锅,洋房火锅
豪尚豪牛排,豪尚豪
四海游龙,四海游龙
茶丸家,茶丸
阿华大虾,阿华大虾
重庆大队长主题火锅,大队长主题火锅
夏日沫沫茶,夏日沫沫茶
meetea鸣茶,"鸣茶, MEE TEA, MEETEA"
漫雪的茶SNOWTEA,漫雪的茶
豪客来牛排,"豪客来, houcaller"
豪享来,豪享来
大队长主题火锅,大队长主题火锅
荼啡茶,荼啡茶
一芳水果茶,一芳水果茶
味千拉面,"味千拉面, 较大的休闲餐厅连锁经营商"
茶之道茶舍,茶之道
黑龙茶,黑龙茶
蒙自源小锅米线,蒙自源
Leonidas 朱古力,"利奥尼达斯, LEONIDAS"
品尚豆捞,品尚豆捞
苏阁鲜茶·鱼蛋哥哥,苏阁鲜茶
永和豆浆大王,永和豆浆
新元素西餐厅,"新元素, Elementfresh"
巴山味庄串串香主题餐厅,巴山味庄
德克士,"德克士, Dicos"
salud欧洲冻酸奶,Salud
拿多利咖啡,拿多利咖啡
街头茶客,街头茶客
小龙坎老火锅,小龙坎老火锅
茶与布朗,茶与布朗
榴莲一品,榴莲一品
淘汰郎小火锅,淘汰郎
傣妹火锅,傣妹火锅
蓝湾咖啡,蓝湾咖啡
小摘堂茶,小摘堂茶
坎爷秘制火锅,坎爷秘制
漫猫咖啡·MAANCATCOFFEE,漫猫咖啡
牛B奶奶,牛B奶奶
不二锅FUJI POT 小火锅,不二锅
72街,72街
奈雪の茶,奈雪の茶
避风港休闲吧,避风港
Pierre Marcolini,"Pierre Marcolini, PierreMarcolini"
图兰朵咖啡店,"图兰朵, Turandot"
春阳茶事,春阳茶事
遇见奶牛,遇见奶牛
BIANCHI 白 意大利餐厅,"白昂其, BIANCHI"
SUBWAY,"赛百味, SUBWAY"
第七街欧美冰淇淋,第七街
freshmix鲜果优,"鲜果优, Fresh MIX, FreshMIX"
咔咔西茶饮,"咔咔西, kakaxi"
茶桔便-创意饮品连锁,"茶桔便, Hey Juice, HeyJuice"
一只酸奶牛,一只酸奶牛
百特喜意式休闲餐厅,"百特喜, BAKERS"
我呀便当,我呀便当
许府牛,许府牛
佳客来牛排专家,"佳客来, JOYCALLER"
水天堂西餐咖啡厅,水天堂
宇治抹茶,宇治抹茶
老乡鸡,老乡鸡
索菲克牛排,"索菲克, Sofeco"
红舵码头时尚火锅,红舵码头
百客家米线馆,百客家
西堤牛排,"西堤牛排, Tasty"
顺德一哥澳门豆捞,澳门豆捞
真功夫,真功夫
庆丰包子铺,庆丰包子铺
水玉丸作,水玉丸作
下雪的村庄,下雪的村庄
小碗布丁我是糕手,小碗布丁
寻芋记,寻芋记
香芋仙,香芋仙
乌煎道黑龙茶,乌煎道黑龙茶
麦地初茶,麦地初茶
果麦,果麦
街头茶客,街头茶客
漫猫咖啡,漫猫咖啡
妙茶手抓饼店,妙茶
四云奶盖贡茶,四云奶盖贡茶
芭斯罗缤,芭斯罗缤
老爷锅,老爷锅
五条人糖水铺,五条人糖水铺
炊二哥江湖菜,炊二哥
大家乐饭店,大家乐
沙美花庭,沙美花庭
一夫茶,一夫茶
茶桔便,"茶桔便, Hey Juice, HeyJuice"
mycoffeebrak,"MY COFFEE, MYCOFFEE"
金五门,金五门
蓝湾咖啡,蓝湾咖啡
金五门秘制老火锅,金五门
因味茶,"因味茶, inWE"
淳百味,淳百味
载沅家炒酸奶,载沅家
蒸功夫包子,蒸功夫
李先生牛肉面,"李先生, Mrlee"
Icedemon,"冰雪怪, ICE DEMON, ICEDEMON"
蜜菓MY GIRL COFFEE,蜜菓
毛家饭店,毛家饭店
糖人甜品店,糖人甜品
肯德基,"肯德基, KFC"
乌所味,乌所味
本宫的茶,本宫的茶
永和大王,"永和大王, 台式风味的精致快餐"
坎爷秘制火锅,坎爷秘制
树心旁烘焙,树心旁
鹿野茶事,鹿野茶事
胡子茶,"胡子茶, WHO’S TEA, WHO’STEA"
Segafredo Zanetti Espresso,Segafredo
阿水大杯茶,阿水大杯茶
蜀大侠火锅,蜀大侠
索菲克三棵松餐饮,"索菲克, Sofeco"
DairyFairy,"dairy fairy, dairyfairy"
辣府?麻辣香锅,辣府
蒸浏记,蒸浏记
不二锅FUJIPOT小火锅,不二锅
老爷锅,老爷锅
玺芝王茶饮,玺芝王茶
淳百味,淳百味
MOVENPICK,"莫凡彼, Movenpick"
8090鲜萃茶,8090鲜萃茶
贵族世家牛排,贵族世家牛排
春阳茶事,春阳茶事
五条人糖水铺,五条人糖水铺
蒸浏记?浏阳蒸菜,蒸浏记
嗑茶,嗑茶
小摘堂茶,小摘堂茶
呷哺呷哺,呷哺呷哺
真功夫,真功夫
嘉和一品,嘉和一品
宏状元,宏状元
葡茶POCTEA,"葡茶, Port Tea, PortTea"
拉芳舍,拉芳舍
嘉和一品粥,嘉和一品
阿水大杯茶,阿水大杯茶
斯利美饮品,斯利美
布歌东京,"布歌东京, mvuke tokyo, mvuketokyo"
星巴克,"星巴克, Starbucks"
ENCHA恩茶台式鲜萃鲜茶,"恩茶, ENCHA"
尚上捞欢乐肥牛小火锅,尚上捞
喜缘火锅,喜缘火锅
四云奶盖贡茶,四云奶盖贡茶
CoffeeBox,"连咖啡, Coffee Box, CoffeeBox"
港饮之港,港饮之港
潘师傅炸鸡腿,潘师傅
贡茶,贡茶
北家姓转转小火锅,北家姓
愉筷餐厅,愉筷
Port Tea葡茶,"葡茶, Port Tea, PortTea"
妙茶,妙茶
骑士老虎茶黑糖,骑士老虎茶
黑泷太郎,黑泷太郎
蜀大侠四川传统主义火锅,蜀大侠
泡泡.撞茶,泡泡撞茶
巴人小龙坎老火锅,小龙坎老火锅
星期五海鲜烧烤,"星期五, FRIDAYS"
庆丰包子铺,庆丰包子铺
乡村基,"乡村基, CSC"
老爷锅,老爷锅
粥全粥到,粥全粥到
重庆德庄火锅,德庄火锅
茶玛靓饮,"茶玛, TEAMACC"
罗帝可可美食咖啡屋,"罗帝可可, RODICOCO"
江一湖重庆火锅,江一湖
周麻婆,周麻婆
柠檬王子,柠檬王子
欧吉斯仙草专卖店,"欧吉斯, Yogiboost"
阿香婆麻辣香锅,阿香婆
甜兮兮蛋糕店,甜兮兮
半兽人回转小火锅,半兽人
彤德莱火锅,彤德莱
电台巷火锅,电台巷
果麦,果麦
香芋仙,香芋仙
斗牛士牛排海鲜,斗牛士牛排
喜年贡茶,喜年贡茶
佳客来,"佳客来, JOYCALLER"
芝士客皇茶,芝士客皇茶
漫雪的茶,漫雪的茶
古茗,古茗
Segafredo,Segafredo
snowhouse,"雪花屋, SNOW HOUSE, SNOWHOUSE"
暹香泰茶,暹香泰茶
金五门秘制火锅,金五门
塞纳左岸咖啡厅,"塞纳左岸, SanaZoan"
甜甜圈烘焙坊,"甜甜圈, DAYLIGHT DONUTS, DAYLIGHTDONUTS"
古茗孙端,古茗
大娘水饺,大娘水饺
麦隆咖啡,"麦隆咖啡, MELLOWER"
四云奶盖贡茶,四云奶盖贡茶
蜀大侠火锅,蜀大侠
迪欧咖啡,迪欧咖啡
T STAR COFFEE 帝星咖啡,"T star coffee, Tstarcoffee"
咖啡之翼咖啡厅,咖啡之翼
亚惠美食,亚惠美食
waffle bant,"华夫班特, waffle bant, wafflebant"
雪冰,雪冰
永和大王,"永和大王, 台式风味的精致快餐"
狗不理包子桃南一巷,狗不理
小龙坎老火锅,小龙坎老火锅
弥茶,弥茶
宏状元,宏状元
品尚豆捞坊,品尚豆捞
西堤牛排,"西堤牛排, Tasty"
老娘舅面馆,老娘舅
mangosix coffee&dessert,"MANGO SIX, MANGOSIX"
春阳茶事,春阳茶事
新辣道鱼火锅,新辣道
吉野家,吉野家
